source_id,target_id,weight
1383,42778,1.0
1383,50122,2.0
1383,50511,1.0
6491,11674,1.0
6491,24554,1.0
6491,27469,1.0
6491,33866,1.0
6491,36485,1.0
6491,42537,1.0
6491,49519,1.0
7483,39503,1.0
7483,60516,1.0
11142,16456,1.0
11142,20293,1.0
11142,23255,1.0
11142,56275,1.0
11142,58871,1.0
11674,24554,1.0
11674,27469,1.0
11674,33866,1.0
11674,36485,1.0
11674,42537,1.0
11674,49519,1.0
16456,20293,1.0
16456,23255,1.0
16456,56275,1.0
16456,58871,1.0
20293,23255,1.0
20293,56275,1.0
20293,58871,1.0
23255,56275,1.0
23255,58871,1.0
24554,11142,1.0
24554,16456,1.0
24554,20293,1.0
24554,23255,1.0
24554,27469,2.0
24554,33866,1.0
24554,36485,2.0
24554,42537,1.0
24554,49519,1.0
24554,56275,1.0
24554,58871,1.0
27469,11142,1.0
27469,16456,1.0
27469,20293,1.0
27469,23255,1.0
27469,33866,1.0
27469,36485,2.0
27469,42537,1.0
27469,49519,1.0
27469,56275,1.0
27469,58871,1.0
33866,36485,1.0
33866,42537,1.0
33866,49519,1.0
36485,11142,1.0
36485,16456,1.0
36485,20293,1.0
36485,23255,1.0
36485,42537,1.0
36485,49519,1.0
36485,56275,1.0
36485,58871,1.0
39503,60516,1.0
42537,49519,1.0
42778,50122,1.0
42778,50511,1.0
50122,50511,3.0
50511,7483,1.0
50511,39503,1.0
50511,60516,1.0
56275,58871,1.0
