source_id,target_id,weight
1170,2981,1.0
1170,3053,1.0
1170,19523,1.0
1170,28664,1.0
1170,35839,1.0
1170,39541,1.0
1170,46422,1.0
2736,28521,1.0
2736,37095,1.0
2736,50700,1.0
2853,18469,2.0
2853,25631,2.0
2853,40948,2.0
2981,3053,2.0
2981,13046,1.0
2981,19523,1.0
2981,23034,1.0
2981,28664,1.0
2981,35839,1.0
2981,39541,1.0
2981,46422,1.0
3053,2853,2.0
3053,13046,1.0
3053,18469,2.0
3053,19523,1.0
3053,23034,1.0
3053,25631,2.0
3053,28521,5.0
3053,28664,1.0
3053,35839,1.0
3053,39491,1.0
3053,39541,1.0
3053,40948,2.0
3053,46422,1.0
3053,47459,2.0
3053,53679,1.0
13046,23034,1.0
18469,25631,2.0
18469,40948,2.0
19523,28664,1.0
19523,35839,1.0
19523,39541,1.0
19523,46422,1.0
25631,40948,2.0
28521,2853,2.0
28521,18469,2.0
28521,25631,2.0
28521,37095,1.0
28521,40948,2.0
28521,47459,1.0
28521,50700,1.0
28521,53679,1.0
28664,35839,1.0
28664,39541,1.0
28664,46422,1.0
35839,39541,1.0
35839,46422,1.0
37095,50700,1.0
39491,47459,1.0
39541,46422,1.0
47459,53679,1.0
