source_id,target_id,weight
8,25771,1.0
15,2378,2.0
15,4928,1.0
15,9739,1.0
15,11242,1.0
15,12798,2.0
15,12803,2.0
15,13358,1.0
15,18682,1.0
15,19239,1.0
15,20224,1.0
15,20564,1.0
15,23088,1.0
15,30525,3.0
15,30526,1.0
15,31579,1.0
15,32973,1.0
15,39488,1.0
15,39689,1.0
15,40051,3.0
15,48633,1.0
15,57585,1.0
35,2601,1.0
35,14675,1.0
35,15530,1.0
35,42266,1.0
35,44434,1.0
36,3329,1.0
36,9931,1.0
36,12939,1.0
36,15168,2.0
36,19888,1.0
36,45613,1.0
36,50571,1.0
41,2185,1.0
41,8448,1.0
41,18327,1.0
41,19080,1.0
41,28419,1.0
41,33890,1.0
41,42990,1.0
41,53655,1.0
60,12110,1.0
60,15404,1.0
60,23613,1.0
60,27685,1.0
60,44060,1.0
60,56536,1.0
60,59205,1.0
128,9994,1.0
128,13379,1.0
128,15099,1.0
128,17382,1.0
128,31907,1.0
128,33243,1.0
128,40320,1.0
128,40915,1.0
128,43705,1.0
128,44075,1.0
128,48359,1.0
129,477,3.0
129,1346,9.0
129,2817,1.0
129,3011,1.0
129,3080,2.0
129,5261,6.0
129,7479,3.0
129,7916,1.0
129,8381,3.0
129,8470,2.0
129,8765,22.0
129,9978,10.0
129,9995,2.0
129,10022,4.0
129,10025,2.0
129,10128,1.0
129,10274,1.0
129,10421,7.0
129,10655,1.0
129,11712,1.0
129,12331,6.0
129,13067,2.0
129,13789,1.0
129,14359,1.0
129,14884,1.0
129,15091,6.0
129,17376,10.0
129,20310,5.0
129,21396,1.0
129,21979,7.0
129,22074,1.0
129,22943,3.0
129,22996,4.0
129,23001,2.0
129,26317,2.0
129,27946,2.0
129,28369,4.0
129,28571,2.0
129,30483,13.0
129,30692,4.0
129,31832,6.0
129,33166,7.0
129,33387,1.0
129,33426,3.0
129,33658,1.0
129,34085,1.0
129,35379,15.0
129,36469,4.0
129,37760,2.0
129,38197,2.0
129,38607,4.0
129,39404,1.0
129,39577,1.0
129,40306,1.0
129,41200,2.0
129,41238,1.0
129,42132,1.0
129,42358,1.0
129,42391,1.0
129,42835,4.0
129,44379,1.0
129,46439,2.0
129,49911,1.0
129,51144,5.0
129,52084,1.0
129,52199,1.0
129,52891,6.0
129,53622,4.0
129,54032,1.0
129,54350,2.0
129,54351,7.0
129,55518,1.0
129,55600,3.0
129,55613,4.0
129,55680,2.0
129,56003,2.0
129,56189,1.0
129,58255,1.0
129,58406,8.0
129,59214,18.0
129,60472,6.0
131,476,1.0
131,4799,2.0
131,13378,3.0
131,13411,1.0
131,15628,1.0
131,17380,2.0
131,22114,2.0
131,26351,1.0
131,28170,2.0
131,30484,2.0
131,36025,2.0
131,36839,1.0
131,39579,1.0
131,40248,2.0
131,43533,2.0
131,43704,1.0
131,45917,1.0
131,53892,4.0
131,54227,1.0
132,7201,1.0
132,8240,1.0
132,10115,1.0
132,11280,1.0
132,12305,1.0
132,13500,1.0
132,14301,1.0
132,22808,1.0
132,28498,1.0
132,33714,1.0
132,36063,1.0
132,41339,1.0
132,43490,1.0
132,43976,1.0
132,45547,1.0
132,45932,1.0
132,47186,1.0
132,48749,1.0
132,54305,1.0
132,57093,1.0
132,58123,1.0
133,2448,3.0
133,4968,1.0
133,7200,1.0
133,7972,2.0
133,8265,2.0
133,9771,3.0
133,10912,7.0
133,12484,13.0
133,14426,18.0
133,17197,5.0
133,19521,18.0
133,19645,2.0
133,19648,3.0
133,26213,1.0
133,26743,3.0
133,26964,18.0
133,29077,6.0
133,30486,11.0
133,30770,3.0
133,32061,1.0
133,32093,1.0
133,35207,13.0
133,37724,2.0
133,38227,3.0
133,38539,7.0
133,40030,2.0
133,40056,3.0
133,40209,4.0
133,40992,3.0
133,41116,13.0
133,41639,5.0
133,45366,2.0
133,45488,3.0
133,46503,1.0
133,47857,11.0
133,48056,18.0
133,48120,5.0
133,50934,2.0
133,55746,3.0
133,56354,15.0
133,57011,7.0
140,3105,1.0
140,5100,2.0
140,35465,2.0
140,45615,2.0
140,50876,1.0
140,52849,1.0
147,5005,1.0
147,16051,1.0
147,18776,2.0
147,21677,1.0
147,27151,1.0
147,27152,1.0
147,31571,2.0
147,39092,2.0
147,45079,1.0
147,48861,1.0
150,40005,1.0
150,58959,1.0
151,3958,1.0
151,21110,1.0
151,24197,1.0
151,26687,1.0
151,56594,1.0
151,57733,1.0
151,59549,1.0
158,20664,1.0
158,37108,1.0
158,39935,1.0
158,58269,1.0
160,10019,2.0
160,15046,1.0
160,15339,2.0
160,30890,2.0
160,32610,2.0
160,33530,1.0
160,35206,1.0
160,38557,1.0
160,41312,2.0
160,52337,2.0
161,3063,2.0
161,4283,1.0
161,9740,6.0
161,9802,1.0
161,13942,6.0
161,23014,6.0
161,28629,1.0
161,29206,6.0
161,33107,1.0
161,33249,2.0
161,35787,12.0
161,37055,2.0
161,37129,12.0
161,37725,6.0
161,41054,1.0
161,41094,3.0
161,41833,6.0
161,42061,6.0
161,44423,1.0
161,45760,2.0
161,52213,14.0
161,53513,6.0
161,54019,1.0
161,54070,1.0
161,55892,6.0
161,57414,6.0
170,20081,1.0
170,25411,1.0
170,46454,1.0
170,55770,1.0
180,1928,1.0
180,1933,1.0
180,2525,1.0
180,7181,1.0
180,7355,1.0
180,8319,1.0
180,8802,1.0
180,9365,1.0
180,19740,1.0
180,21287,1.0
180,21515,1.0
180,23031,1.0
180,25254,1.0
180,25413,1.0
180,27067,1.0
180,31111,1.0
180,34843,2.0
180,36385,1.0
180,39518,1.0
180,40242,1.0
180,47871,1.0
180,48683,1.0
180,54384,2.0
180,55773,3.0
181,9177,1.0
181,14068,1.0
181,17283,1.0
181,18494,1.0
181,35435,1.0
181,40166,1.0
181,48557,1.0
185,6461,1.0
185,9407,1.0
185,10865,1.0
185,11478,1.0
185,42565,1.0
185,50000,1.0
185,52584,1.0
185,58040,1.0
190,6951,1.0
190,7206,1.0
190,7985,1.0
190,10297,1.0
191,7613,1.0
191,11022,1.0
191,19042,1.0
191,29724,2.0
191,38820,1.0
191,39023,1.0
191,53968,1.0
191,55190,2.0
192,9799,1.0
192,21476,1.0
192,30710,1.0
192,54264,1.0
239,27165,1.0
239,42220,1.0
239,57830,1.0
239,59697,1.0
243,2974,1.0
243,26355,1.0
244,3783,1.0
244,13848,1.0
244,23375,1.0
244,37172,1.0
244,41991,1.0
249,2346,1.0
249,29476,1.0
249,45277,1.0
249,50234,1.0
249,52540,1.0
258,10733,1.0
258,12229,1.0
258,22820,1.0
258,23087,1.0
258,42255,1.0
258,49225,1.0
267,25176,1.0
267,40881,1.0
267,41224,1.0
267,46550,1.0
267,56131,1.0
280,1762,1.0
280,54011,1.0
287,5428,3.0
287,7065,1.0
287,10098,1.0
287,20012,1.0
287,39628,4.0
287,57227,1.0
288,6978,2.0
289,8981,1.0
289,33909,1.0
298,705,2.0
298,709,2.0
298,11341,1.0
298,12597,13.0
298,14576,4.0
298,14756,1.0
298,14925,1.0
298,18053,1.0
298,20395,4.0
298,22506,1.0
298,25688,3.0
298,27501,1.0
298,27887,1.0
298,29517,1.0
298,29799,3.0
