source_id,target_id,weight
6,2798,1.0
6,21669,1.0
6,24553,1.0
6,25136,1.0
6,32906,1.0
6,45028,1.0
91,377,1.0
91,1358,1.0
91,7659,1.0
91,19340,1.0
91,32756,1.0
91,33892,1.0
91,35943,1.0
91,46237,1.0
118,11409,1.0
118,11453,2.0
118,17182,1.0
118,20221,2.0
118,39129,2.0
118,57084,1.0
154,9531,1.0
154,35587,1.0
154,36574,1.0
154,59242,1.0
213,266,2.0
213,1123,2.0
213,2252,2.0
213,2497,2.0
213,2535,2.0
213,3677,2.0
213,3697,2.0
213,3734,2.0
213,4006,2.0
213,4698,2.0
213,5419,2.0
213,5461,2.0
213,8043,2.0
213,10541,2.0
213,12406,2.0
213,19571,2.0
213,19897,2.0
213,22001,2.0
213,24209,2.0
213,24265,2.0
213,27542,2.0
213,27988,2.0
213,31384,2.0
213,37833,2.0
213,38156,2.0
213,39879,2.0
213,40291,2.0
213,40693,2.0
213,41142,2.0
213,42782,2.0
213,44238,2.0
213,49518,2.0
213,51610,2.0
213,52311,2.0
213,53316,2.0
213,53717,2.0
213,58053,2.0
213,58942,2.0
216,1194,2.0
216,1329,3.0
216,4601,1.0
216,5198,2.0
216,5509,2.0
216,8236,2.0
216,9958,1.0
216,10987,2.0
216,11090,2.0
216,11399,3.0
216,13117,2.0
216,13177,2.0
216,13498,2.0
216,14458,3.0
216,15590,2.0
216,15964,2.0
216,16027,2.0
216,16898,1.0
216,17242,2.0
216,17351,1.0
216,22314,2.0
216,23053,1.0
216,24098,1.0
216,29065,2.0
216,29265,2.0
216,30489,1.0
216,32438,1.0
216,32628,2.0
216,33965,2.0
216,34466,3.0
216,34927,2.0
216,35086,2.0
216,38378,2.0
216,38479,2.0
216,38703,2.0
216,38954,2.0
216,39273,2.0
216,39506,2.0
216,39708,2.0
216,40611,2.0
216,42139,3.0
216,43556,2.0
216,43905,3.0
216,44565,2.0
216,45468,2.0
216,46871,2.0
216,48024,3.0
216,48264,2.0
216,49517,1.0
216,50063,2.0
216,53000,3.0
216,55381,3.0
216,55693,2.0
216,56725,3.0
216,56837,2.0
216,58291,2.0
216,60332,3.0
232,3005,1.0
232,4257,1.0
232,4712,1.0
232,15748,1.0
232,18769,1.0
232,23582,1.0
232,27789,1.0
232,38470,1.0
232,41292,1.0
232,47040,1.0
232,53002,1.0
266,1123,2.0
266,2252,2.0
266,2497,2.0
266,2535,2.0
266,3677,2.0
266,3697,2.0
266,3734,2.0
266,4006,2.0
266,4698,2.0
266,5419,2.0
266,5461,2.0
266,8043,2.0
266,10541,2.0
266,12406,2.0
266,19571,2.0
266,19897,2.0
266,22001,2.0
266,24209,2.0
266,24265,2.0
266,27542,2.0
266,27988,2.0
266,31384,2.0
266,37833,2.0
266,38156,2.0
266,39879,2.0
266,40291,2.0
266,40693,2.0
266,41142,2.0
266,42782,2.0
266,44238,2.0
266,49518,2.0
266,51610,2.0
266,52311,2.0
266,53316,2.0
266,53717,2.0
266,58053,2.0
266,58942,2.0
286,5250,1.0
286,12840,1.0
286,16849,1.0
286,20490,5.0
286,21441,4.0
286,21827,2.0
286,24682,4.0
286,25881,1.0
286,25882,3.0
286,49162,1.0
286,54677,1.0
286,54869,1.0
286,55117,2.0
286,60448,1.0
377,1358,1.0
377,7659,1.0
377,19340,1.0
377,32756,1.0
377,33892,1.0
377,35943,1.0
377,46237,1.0
388,1236,2.0
388,2484,1.0
388,2942,2.0
388,3930,2.0
388,4785,2.0
388,5414,2.0
388,8218,2.0
388,8840,2.0
388,9082,2.0
388,10312,2.0
388,10376,1.0
388,10378,2.0
388,10548,2.0
388,11398,2.0
388,11434,2.0
388,12419,1.0
388,14510,2.0
388,17574,1.0
388,18711,2.0
388,20990,2.0
388,21080,1.0
388,21585,2.0
388,22483,2.0
388,22611,2.0
388,23027,2.0
388,28328,2.0
388,29531,2.0
388,30360,2.0
388,30700,2.0
388,31381,2.0
388,32229,2.0
388,32510,2.0
388,34863,2.0
388,37137,2.0
388,37218,2.0
388,37232,1.0
388,37509,1.0
388,37571,1.0
388,38048,2.0
388,38380,2.0
388,39473,1.0
388,39482,2.0
388,39552,2.0
388,41179,2.0
388,41290,1.0
388,43163,2.0
388,43615,2.0
388,44795,2.0
388,44945,2.0
388,45599,1.0
388,49433,2.0
388,50462,2.0
388,50564,2.0
388,51802,2.0
388,51821,1.0
388,52378,2.0
388,52877,2.0
388,54283,2.0
388,54797,2.0
388,55154,2.0
388,55653,2.0
388,55965,1.0
388,56975,2.0
388,57526,1.0
388,57527,2.0
388,58182,2.0
388,58626,2.0
388,58908,2.0
388,59259,2.0
388,60038,2.0
446,6158,1.0
446,20906,1.0
446,26183,1.0
446,43169,1.0
446,46363,1.0
446,59959,1.0
446,59971,1.0
682,10967,1.0
682,12219,1.0
682,20572,1.0
682,26474,1.0
682,27717,1.0
682,27806,1.0
682,40031,1.0
682,42210,2.0
682,52892,1.0
950,15506,1.0
950,22096,1.0
950,36067,1.0
1098,1235,2.0
1098,1293,2.0
1098,1774,2.0
1098,4047,2.0
1098,6716,2.0
1098,6933,2.0
1098,7078,2.0
1098,8560,2.0
1098,9066,2.0
1098,9133,2.0
1098,9844,2.0
1098,10097,2.0
1098,10547,2.0
1098,10725,2.0
1098,11006,2.0
1098,11240,2.0
1098,11777,2.0
1098,14229,2.0
1098,14616,2.0
1098,14706,2.0
1098,17229,2.0
1098,18363,2.0
1098,18929,2.0
1098,20004,2.0
1098,20103,2.0
1098,22459,2.0
1098,25101,2.0
1098,26630,2.0
1098,27372,2.0
1098,28559,2.0
1098,29368,2.0
1098,29532,2.0
1098,30412,2.0
1098,30929,2.0
1098,31747,2.0
1098,32846,2.0
1098,35411,2.0
1098,36929,2.0
1098,39757,2.0
1098,40617,2.0
1098,40796,2.0
1098,41323,2.0
1098,41847,2.0
1098,42221,2.0
1098,42249,2.0
1098,42859,2.0
1098,43709,2.0
1098,47330,2.0
1098,49487,2.0
1098,49567,2.0
1098,49568,2.0
1098,49601,2.0
1098,50038,2.0
1098,50880,2.0
1098,51902,2.0
1098,52521,2.0
1098,52876,2.0
1098,54091,2.0
1098,54568,2.0
1098,57040,2.0
1098,60573,2.0
1123,2252,2.0
1123,2497,2.0
1123,2535,2.0
1123,3677,2.0
1123,3697,2.0
1123,3734,2.0
1123,4006,2.0
1123,4698,2.0
1123,5419,2.0
1123,5461,2.0
1123,8043,2.0
1123,10541,2.0
1123,12406,2.0
1123,19571,2.0
1123,19897,2.0
1123,22001,2.0
1123,24209,2.0
1123,24265,2.0
1123,27542,2.0
1123,27988,2.0
1123,31384,2.0
1123,37833,2.0
1123,38156,2.0
1123,39879,2.0
1123,40291,2.0
1123,40693,2.0
1123,41142,2.0
1123,42782,2.0
1123,44238,2.0
1123,49518,2.0
1123,51610,2.0
1123,52311,2.0
1123,53316,2.0
1123,53717,2.0
1123,58053,2.0
1123,58942,2.0
1194,1329,2.0
1194,5198,2.0
1194,5509,2.0
1194,8236,2.0
1194,10987,2.0
1194,11090,2.0
1194,11399,2.0
1194,13117,2.0
1194,13177,2.0
1194,13498,2.0
1194,14458,2.0
1194,15590,2.0
1194,15964,2.0
1194,16027,2.0
1194,17242,2.0
1194,22314,2.0
1194,29065,2.0
1194,29265,2.0
1194,32628,2.0
1194,33965,2.0
1194,34466,2.0
1194,34927,2.0
1194,35086,2.0
1194,38378,2.0
1194,38479,2.0
1194,38703,2.0
1194,38954,2.0
1194,39273,2.0
1194,39506,2.0
1194,39708,2.0
1194,40611,2.0
1194,42139,2.0
1194,43556,2.0
1194,43905,2.0
1194,44565,2.0
1194,45468,2.0
1194,46871,2.0
1194,48024,2.0
1194,48264,2.0
1194,50063,2.0
1194,53000,2.0
1194,55381,2.0
1194,55693,2.0
1194,56725,2.0
1194,56837,2.0
1194,58291,2.0
1194,60332,2.0
1201,30323,1.0
1201,34116,1.0
1201,50214,1.0
1235,1293,2.0
1235,1774,2.0
1235,4047,2.0
1235,5423,2.0
1235,6716,2.0
1235,6933,2.0
1235,7078,2.0
1235,8560,2.0
1235,9066,2.0
1235,9133,2.0
1235,9844,2.0
1235,10097,2.0
1235,10547,2.0
1235,10725,2.0
1235,11006,2.0
1235,11240,2.0
1235,11777,2.0
1235,12000,1.0
1235,12001,2.0
1235,14229,2.0
1235,14616,2.0
1235,14706,2.0
1235,15126,2.0
1235,17229,2.0
1235,18363,2.0
1235,18929,2.0
1235,20004,2.0
1235,20103,2.0
1235,22459,2.0
1235,23746,1.0
1235,25101,2.0
1235,26630,2.0
1235,27372,2.0
1235,28559,2.0
1235,29368,2.0
1235,29532,2.0
1235,30412,2.0
1235,30929,2.0
1235,31734,2.0
1235,31747,2.0
1235,32846,2.0
1235,33785,2.0
1235,35411,2.0
1235,36402,2.0
1235,36929,2.0
1235,39240,2.0
1235,39757,2.0
1235,40617,2.0
1235,40796,2.0
1235,41323,2.0
1235,41847,2.0
1235,42181,1.0
1235,42221,2.0
