source_id,target_id,weight
19,16463,3.0
19,17623,4.0
19,20553,1.0
19,25081,1.0
19,29839,1.0
19,45976,1.0
19,49173,1.0
19,50757,3.0
19,54474,1.0
19,56191,1.0
19,59805,1.0
53,337,1.0
53,711,1.0
53,2426,1.0
53,3519,1.0
53,3755,1.0
53,4645,1.0
53,7379,1.0
53,7697,1.0
53,8410,1.0
53,11330,1.0
53,13159,1.0
53,14406,1.0
53,15909,1.0
53,16030,1.0
53,16151,1.0
53,16569,1.0
53,16647,1.0
53,17085,1.0
53,18970,1.0
53,19015,1.0
53,19705,1.0
53,20318,1.0
53,23687,1.0
53,23705,1.0
53,24546,1.0
53,24998,1.0
53,25117,1.0
53,25611,1.0
53,25752,1.0
53,25833,1.0
53,25984,1.0
53,26015,1.0
53,26275,1.0
53,26332,1.0
53,26413,1.0
53,26438,1.0
53,26576,1.0
53,26637,1.0
53,26678,1.0
53,27401,1.0
53,29184,1.0
53,30240,1.0
53,30627,1.0
53,31016,1.0
53,31648,1.0
53,32520,1.0
53,33843,1.0
53,34225,1.0
53,34596,1.0
53,36108,1.0
53,37289,1.0
53,41696,1.0
53,42530,1.0
53,42825,1.0
53,46180,1.0
53,46556,1.0
53,46561,1.0
53,46565,1.0
53,49126,1.0
53,49421,1.0
53,49499,1.0
53,49510,1.0
53,49627,1.0
53,54279,1.0
53,54471,1.0
53,54792,1.0
53,58467,1.0
53,58776,1.0
53,58934,1.0
53,58940,1.0
53,59154,1.0
53,59171,1.0
53,59213,1.0
53,59816,1.0
53,60445,1.0
53,60487,1.0
53,60517,1.0
64,21026,1.0
64,25678,1.0
64,32008,1.0
64,52276,1.0
77,3539,1.0
77,5179,1.0
77,5655,2.0
77,5738,1.0
77,5766,2.0
77,14470,1.0
77,14976,1.0
77,15057,2.0
77,15691,1.0
77,18179,2.0
77,20478,1.0
77,21278,1.0
77,23653,1.0
77,24136,1.0
77,25994,1.0
77,26445,1.0
77,26852,1.0
77,27299,1.0
77,27396,2.0
77,27446,1.0
77,27587,1.0
77,27864,1.0
77,27984,1.0
77,28037,1.0
77,34221,1.0
77,34419,1.0
77,37159,1.0
77,40279,1.0
77,41413,1.0
77,42493,1.0
77,49603,1.0
77,50145,1.0
77,52476,3.0
77,52550,1.0
77,52696,1.0
77,54813,1.0
77,57328,1.0
77,57997,3.0
77,58902,2.0
77,60361,1.0
108,861,3.0
108,1251,3.0
108,2452,3.0
108,3027,3.0
108,3843,3.0
108,4809,3.0
108,5468,3.0
108,5654,3.0
108,5697,3.0
108,6769,3.0
108,7653,3.0
108,7699,3.0
108,8135,3.0
108,9818,3.0
108,10328,3.0
108,10642,3.0
108,10810,3.0
108,11450,3.0
108,11679,3.0
108,12785,3.0
108,13216,3.0
108,13298,3.0
108,13695,3.0
108,13721,3.0
108,14230,3.0
108,14473,3.0
108,15365,2.0
108,15366,1.0
108,15617,3.0
108,16446,3.0
108,16960,3.0
108,17831,3.0
108,18182,3.0
108,18234,3.0
108,18939,3.0
108,19745,3.0
108,20810,3.0
108,20844,3.0
108,21634,3.0
108,22017,3.0
108,22892,3.0
108,24525,3.0
108,24671,3.0
108,25213,3.0
108,25508,3.0
108,25873,3.0
108,26499,3.0
108,27478,3.0
108,27691,3.0
108,28647,3.0
108,29637,3.0
108,29645,3.0
108,31120,3.0
108,31752,2.0
108,32019,1.0
108,32466,3.0
108,34066,3.0
108,35356,3.0
108,35648,3.0
108,35889,3.0
108,36415,3.0
108,37006,3.0
108,37810,3.0
108,38133,3.0
108,38149,3.0
108,39036,3.0
108,39044,3.0
108,40019,3.0
108,40138,3.0
108,41093,3.0
108,42607,3.0
108,44775,3.0
108,46614,3.0
108,48228,3.0
108,49456,3.0
108,51517,3.0
108,51827,3.0
108,52001,3.0
108,52279,3.0
108,52610,3.0
108,53110,3.0
108,53646,3.0
108,55287,3.0
108,55980,3.0
108,56466,3.0
108,57685,1.0
108,57743,3.0
108,57888,3.0
108,58059,3.0
108,59168,3.0
108,60171,3.0
108,60564,3.0
169,34848,2.0
169,37971,2.0
169,46017,2.0
169,49462,2.0
169,52152,2.0
169,59330,2.0
231,14905,1.0
231,20438,1.0
231,26281,1.0
246,2882,2.0
246,7511,1.0
246,8241,1.0
246,11171,2.0
246,12975,1.0
246,15609,2.0
246,21340,1.0
246,31855,1.0
246,35653,2.0
246,38874,2.0
246,53212,1.0
246,53213,1.0
246,56370,1.0
246,56762,2.0
247,2871,1.0
247,4584,1.0
247,8133,1.0
247,9653,1.0
247,11848,1.0
247,14455,1.0
247,15570,1.0
247,15837,1.0
247,15843,1.0
247,16654,1.0
247,19007,1.0
247,21487,1.0
247,21493,1.0
247,23714,1.0
247,24174,1.0
247,26016,1.0
247,26470,1.0
247,26679,1.0
247,31812,1.0
247,34106,1.0
247,35074,1.0
247,35266,1.0
247,37532,1.0
247,39156,1.0
247,45378,1.0
247,45390,1.0
247,46807,1.0
247,47009,1.0
247,47022,1.0
247,47034,1.0
247,47179,1.0
247,47258,1.0
247,48740,1.0
247,49120,1.0
247,53832,1.0
247,54278,1.0
247,56526,1.0
247,56601,1.0
247,56745,1.0
247,59102,1.0
247,59395,1.0
247,59451,1.0
247,59540,2.0
247,59843,1.0
283,435,1.0
283,1080,2.0
283,1081,1.0
283,1082,3.0
283,2366,2.0
283,2638,3.0
283,5542,7.0
283,6984,7.0
283,8137,3.0
283,8716,1.0
283,9043,2.0
283,15318,2.0
283,16441,2.0
283,17976,1.0
283,18437,3.0
283,19891,2.0
283,21648,3.0
283,21974,1.0
283,24668,1.0
283,26547,2.0
283,32472,2.0
283,32473,7.0
283,33065,1.0
283,33666,1.0
283,36468,7.0
283,37501,3.0
283,38052,1.0
283,38093,7.0
283,38143,1.0
283,38489,7.0
283,38940,1.0
283,42199,1.0
283,43190,1.0
283,43900,2.0
283,45383,2.0
283,46819,1.0
283,46857,2.0
283,47519,1.0
283,47556,2.0
283,47558,1.0
283,47658,9.0
283,49230,2.0
283,49231,7.0
283,51065,11.0
283,51454,1.0
283,52483,2.0
283,53241,2.0
283,55557,2.0
283,57198,4.0
283,58194,7.0
283,59063,2.0
283,60498,1.0
337,711,1.0
337,2426,1.0
337,3519,1.0
337,3755,1.0
337,4645,1.0
337,7379,1.0
337,7697,1.0
337,8410,1.0
337,11330,1.0
337,13159,1.0
337,14406,1.0
337,15909,1.0
337,16030,1.0
337,16151,1.0
337,16569,1.0
337,16647,1.0
337,17085,1.0
337,18970,1.0
337,19015,1.0
337,19705,1.0
337,20318,1.0
337,23687,1.0
337,23705,1.0
337,24546,1.0
337,24998,1.0
337,25117,1.0
337,25611,1.0
337,25752,1.0
337,25833,1.0
337,25984,1.0
337,26015,1.0
337,26275,1.0
337,26332,1.0
337,26413,1.0
337,26438,1.0
337,26576,1.0
337,26637,1.0
337,26678,1.0
337,27401,1.0
337,29184,1.0
337,30240,1.0
337,30627,1.0
337,31016,1.0
337,31648,1.0
337,32520,1.0
337,33843,1.0
337,34225,1.0
337,34596,1.0
337,36108,1.0
337,37289,1.0
337,41696,1.0
337,42530,1.0
337,42825,1.0
337,46180,1.0
337,46556,1.0
337,46561,1.0
337,46565,1.0
337,49126,1.0
337,49421,1.0
337,49499,1.0
337,49510,1.0
337,49627,1.0
337,54279,1.0
337,54471,1.0
337,54792,1.0
337,58467,1.0
337,58776,1.0
337,58934,1.0
337,58940,1.0
337,59154,1.0
337,59171,1.0
337,59213,1.0
337,59816,1.0
337,60445,1.0
337,60487,1.0
337,60517,1.0
406,15377,1.0
406,17041,1.0
406,26493,1.0
406,32517,1.0
406,34290,1.0
406,36787,1.0
406,39214,1.0
406,46746,1.0
406,54839,1.0
412,4657,1.0
412,35930,1.0
435,21974,1.0
435,33065,1.0
435,37501,1.0
435,46819,1.0
436,21971,1.0
436,34883,1.0
436,47557,1.0
443,55313,1.0
462,45415,1.0
463,7961,1.0
463,15070,1.0
463,23853,1.0
463,30021,1.0
463,38875,1.0
463,45407,1.0
463,54372,1.0
463,55535,1.0
463,60461,1.0
493,9747,1.0
493,37350,1.0
493,43956,1.0
493,60329,1.0
524,8550,1.0
524,12201,1.0
524,14751,1.0
524,19117,1.0
524,25762,1.0
524,46243,1.0
524,54844,1.0
545,3382,1.0
545,7731,1.0
545,10086,1.0
545,10772,1.0
545,22472,1.0
545,26638,1.0
545,28872,1.0
545,34396,1.0
545,40557,1.0
545,40825,1.0
545,47167,1.0
545,54888,1.0
545,54935,1.0
545,59435,1.0
545,59985,1.0
545,60201,1.0
554,5281,2.0
554,7432,2.0
563,35892,1.0
669,1861,1.0
669,2881,1.0
669,4248,1.0
669,11420,1.0
669,11682,1.0
669,11981,2.0
669,20544,1.0
669,20824,1.0
669,24062,1.0
669,24713,2.0
669,24891,1.0
669,27647,1.0
669,28072,2.0
669,29185,1.0
669,29973,1.0
669,30829,1.0
669,33809,1.0
669,34916,2.0
669,35923,1.0
669,40827,1.0
669,43156,3.0
669,45907,1.0
669,48847,1.0
669,49968,1.0
669,56652,1.0
669,56653,1.0
669,60301,2.0
685,31650,1.0
685,45153,1.0
685,45560,2.0
685,56473,1.0
685,56475,1.0
711,2426,1.0
711,3519,1.0
711,3755,1.0
711,4645,1.0
711,7379,1.0
711,7697,1.0
711,8410,1.0
711,11330,1.0
711,13159,1.0
711,14406,1.0
711,15909,1.0
711,16030,1.0
711,16151,1.0
711,16569,1.0
711,16647,1.0
711,17085,1.0
711,18970,1.0
711,19015,1.0
711,19705,1.0
711,20318,1.0
711,23687,1.0
711,23705,1.0
711,24546,1.0
711,24998,1.0
711,25117,1.0
711,25611,1.0
711,25752,1.0
711,25833,1.0
711,25984,1.0
711,26015,1.0
711,26275,1.0
711,26332,1.0
711,26413,1.0
711,26438,1.0
711,26576,1.0
711,26637,1.0
711,26678,1.0
711,27401,1.0
711,29184,1.0
711,30240,1.0
711,30627,1.0
711,31016,1.0
711,31648,1.0
711,32520,1.0
711,33843,1.0
711,34225,1.0
711,34596,1.0
711,36108,1.0
711,37289,1.0
711,41696,1.0
711,42530,1.0
711,42825,1.0
711,46180,1.0
711,46556,1.0
711,46561,1.0
711,46565,1.0
711,49126,1.0
711,49421,1.0
711,49499,1.0
711,49510,1.0
711,49627,1.0
711,54279,1.0
711,54471,1.0
711,54792,1.0
711,58467,1.0
