source_id,target_id,weight
78,13747,1.0
98,1005,1.0
98,1580,1.0
98,1685,1.0
98,2456,1.0
98,2515,1.0
98,2829,1.0
98,3380,1.0
98,3474,1.0
98,3482,1.0
98,4193,1.0
98,4536,1.0
98,4537,1.0
98,5045,1.0
98,5395,1.0
98,5676,1.0
98,7675,1.0
98,8142,1.0
98,8997,1.0
98,9194,1.0
98,13438,1.0
98,13975,1.0
98,14360,1.0
98,14522,1.0
98,15442,1.0
98,15825,1.0
98,15924,1.0
98,16577,1.0
98,16591,1.0
98,18036,1.0
98,18727,1.0
98,18941,1.0
98,20302,1.0
98,21400,1.0
98,21621,1.0
98,21860,1.0
98,22149,1.0
98,22302,1.0
98,22864,1.0
98,25595,1.0
98,28795,1.0
98,28929,1.0
98,31478,1.0
98,32949,1.0
98,34242,1.0
98,35483,1.0
98,36883,1.0
98,36919,1.0
98,37059,1.0
98,37086,1.0
98,37639,1.0
98,38018,1.0
98,38393,1.0
98,38942,3.0
98,42271,1.0
98,42442,1.0
98,42637,1.0
98,43986,1.0
98,44572,1.0
98,44787,1.0
98,47461,1.0
98,49241,1.0
98,49461,1.0
98,49907,1.0
98,51761,1.0
98,52266,1.0
98,52634,1.0
98,52980,1.0
98,53035,1.0
98,53109,1.0
98,54690,1.0
98,57501,1.0
98,57999,1.0
98,58508,1.0
98,59704,1.0
177,1668,1.0
177,2024,1.0
177,4053,1.0
177,13370,2.0
177,23007,2.0
177,42787,2.0
177,44306,1.0
177,44460,1.0
177,56023,2.0
205,13611,1.0
304,26819,1.0
304,31863,1.0
304,38004,1.0
304,38025,1.0
304,39174,1.0
304,50238,1.0
428,585,2.0
428,1462,2.0
428,2200,2.0
428,5216,2.0
428,5606,2.0
428,5844,2.0
428,5880,2.0
428,6977,2.0
428,7215,2.0
428,7450,2.0
428,7619,2.0
428,7880,2.0
428,8525,2.0
428,8668,2.0
428,11282,2.0
428,11342,2.0
428,12494,2.0
428,13223,2.0
428,14662,2.0
428,15576,2.0
428,16171,2.0
428,16202,2.0
428,16248,2.0
428,16451,2.0
428,16772,2.0
428,18529,2.0
428,18652,2.0
428,19313,2.0
428,19819,2.0
428,20457,2.0
428,20724,2.0
428,21780,2.0
428,22234,2.0
428,22434,2.0
428,22608,2.0
428,23092,2.0
428,23993,2.0
428,24773,2.0
428,25108,2.0
428,25540,2.0
428,25654,2.0
428,25703,2.0
428,25979,2.0
428,26171,2.0
428,26681,2.0
428,26707,2.0
428,27543,2.0
428,29102,2.0
428,29721,2.0
428,29723,2.0
428,29966,2.0
428,30223,2.0
428,30399,2.0
428,30462,2.0
428,30927,2.0
428,31355,2.0
428,31528,2.0
428,31598,2.0
428,31810,2.0
428,31847,2.0
428,31994,2.0
428,33028,2.0
428,33075,2.0
428,33484,2.0
428,35121,2.0
428,35398,2.0
428,36990,2.0
428,38783,2.0
428,39387,2.0
428,39842,2.0
428,41199,2.0
428,41442,2.0
428,41666,2.0
428,42365,2.0
428,42696,2.0
428,43491,2.0
428,43631,2.0
428,44529,2.0
428,44892,2.0
428,45837,2.0
428,45982,2.0
428,46266,2.0
428,47108,2.0
428,48810,2.0
428,50298,2.0
428,50309,2.0
428,50370,2.0
428,50645,2.0
428,51205,2.0
428,51575,2.0
428,52271,2.0
428,52344,2.0
428,54499,2.0
428,54509,2.0
428,56096,2.0
428,56553,2.0
428,58007,2.0
428,60195,2.0
428,60282,2.0
467,1334,1.0
467,2421,1.0
467,2560,1.0
467,2607,1.0
467,2789,1.0
467,3162,1.0
467,4434,1.0
467,5010,1.0
467,6023,1.0
467,6550,1.0
467,6680,1.0
467,9140,1.0
467,10145,1.0
467,10871,1.0
467,11440,1.0
467,12347,1.0
467,12464,1.0
467,13931,1.0
467,16032,1.0
467,18186,1.0
467,18350,1.0
467,20920,1.0
467,21170,1.0
467,22553,1.0
467,22878,1.0
467,23929,1.0
467,24031,1.0
467,24085,1.0
467,24879,1.0
467,25326,1.0
467,26368,1.0
467,29253,1.0
467,30270,2.0
467,30943,1.0
467,33518,1.0
467,33781,1.0
467,33914,1.0
467,35281,1.0
467,35654,1.0
467,36868,1.0
467,36953,1.0
467,37938,1.0
467,39539,1.0
467,39639,1.0
467,39830,1.0
467,40831,1.0
467,42098,1.0
467,42506,1.0
467,42742,1.0
467,44649,1.0
467,46388,1.0
467,46821,1.0
467,46822,1.0
467,50482,1.0
467,52231,1.0
467,52312,1.0
467,57126,1.0
467,57562,1.0
467,57782,1.0
467,58290,1.0
467,58381,1.0
585,1462,2.0
585,2200,2.0
585,5216,2.0
585,5606,2.0
585,5844,2.0
585,5880,2.0
585,6977,2.0
585,7215,2.0
585,7450,2.0
585,7619,2.0
585,7880,2.0
585,8525,2.0
585,8668,2.0
585,11282,2.0
585,11342,2.0
585,12494,2.0
585,13223,2.0
585,14662,2.0
585,15576,2.0
585,16171,2.0
585,16202,2.0
585,16248,2.0
585,16451,2.0
585,16772,2.0
585,18529,2.0
585,18652,2.0
585,19313,2.0
585,19819,2.0
585,20457,2.0
585,20724,2.0
585,21780,2.0
585,22234,2.0
585,22434,2.0
585,22608,2.0
585,23092,2.0
585,23993,2.0
585,24773,2.0
585,25108,2.0
585,25540,2.0
585,25654,2.0
585,25703,2.0
585,25979,2.0
585,26171,2.0
585,26681,2.0
585,26707,2.0
585,27543,2.0
585,29102,2.0
585,29721,2.0
585,29723,2.0
585,29966,2.0
585,30223,2.0
585,30399,2.0
585,30462,2.0
585,30927,2.0
585,31355,2.0
585,31528,2.0
585,31598,2.0
585,31810,2.0
585,31847,2.0
585,31994,2.0
585,33028,2.0
585,33075,2.0
585,33484,2.0
585,35121,2.0
585,35398,2.0
585,36990,2.0
585,38783,2.0
585,39387,2.0
585,39842,2.0
585,41199,2.0
585,41442,2.0
585,41666,2.0
585,42365,2.0
585,42696,2.0
585,43491,2.0
585,43631,2.0
585,44529,2.0
585,44892,2.0
585,45837,2.0
585,45982,2.0
585,46266,2.0
585,47108,2.0
585,48810,2.0
585,50298,2.0
585,50309,2.0
585,50370,2.0
585,50645,2.0
585,51205,2.0
585,51575,2.0
585,52271,2.0
585,52344,2.0
585,54499,2.0
585,54509,2.0
585,56096,2.0
585,56553,2.0
585,58007,2.0
585,60195,2.0
585,60282,2.0
831,924,1.0
831,1280,1.0
831,1371,1.0
831,1597,1.0
831,1717,1.0
831,1793,1.0
831,2032,1.0
831,2181,1.0
831,2383,1.0
831,2680,1.0
831,3068,1.0
831,3256,1.0
831,3362,1.0
831,3628,1.0
831,3961,1.0
831,4575,1.0
831,4591,1.0
831,4620,1.0
831,5036,1.0
831,5239,1.0
831,5350,1.0
831,6008,1.0
831,6460,1.0
831,6813,1.0
831,6913,1.0
831,7146,1.0
831,7952,1.0
831,8063,1.0
831,8715,1.0
831,8812,1.0
831,8844,1.0
831,9491,1.0
831,9800,1.0
831,10385,1.0
831,10596,1.0
831,11146,1.0
831,11321,1.0
831,11337,1.0
831,11408,1.0
831,11493,1.0
831,11701,1.0
831,12115,1.0
831,12324,1.0
831,12379,1.0
831,12420,1.0
831,12971,1.0
831,13437,1.0
831,13513,1.0
831,13773,1.0
831,13916,1.0
831,13980,1.0
831,15097,1.0
831,15396,1.0
831,15426,1.0
831,15538,1.0
831,15826,1.0
831,16275,1.0
831,16715,1.0
831,17112,1.0
831,17341,1.0
831,17620,1.0
831,18496,1.0
831,18975,1.0
831,19194,1.0
831,19372,1.0
831,19622,1.0
831,20306,1.0
831,20448,1.0
831,20639,1.0
831,21544,1.0
831,21865,1.0
831,22042,1.0
831,22163,1.0
831,22731,1.0
831,22755,1.0
831,23140,1.0
831,24500,1.0
831,25099,1.0
831,25651,1.0
831,26007,1.0
831,26021,1.0
831,26379,1.0
831,26811,1.0
831,26916,1.0
831,27239,1.0
831,27523,1.0
831,27750,1.0
831,27841,1.0
831,28162,1.0
831,28194,1.0
831,28850,1.0
831,29150,1.0
831,29722,1.0
831,29969,1.0
831,30633,1.0
831,30947,1.0
831,31004,1.0
831,31043,1.0
831,31218,1.0
831,31552,1.0
831,31788,1.0
831,31892,1.0
831,31950,1.0
831,32268,1.0
831,32569,1.0
831,33162,1.0
831,33269,1.0
831,33363,1.0
831,33852,1.0
831,34620,1.0
831,35650,1.0
831,36055,1.0
831,36204,1.0
831,36457,1.0
831,37066,1.0
831,37485,1.0
831,37541,1.0
831,37831,1.0
831,38332,1.0
831,39078,1.0
831,39525,1.0
831,39558,1.0
831,39560,1.0
831,40939,1.0
831,41160,1.0
831,41241,1.0
831,41958,1.0
831,42309,1.0
