source_id,target_id,weight
17,550,2.0
17,3054,1.0
17,6877,3.0
17,39205,1.0
17,39313,3.0
17,46714,1.0
17,46715,3.0
17,60453,1.0
24,4394,1.0
24,5430,1.0
24,15894,2.0
24,31661,1.0
24,33912,2.0
24,38995,1.0
24,40979,2.0
24,41881,1.0
24,52241,1.0
30,1393,1.0
30,17405,1.0
37,2203,1.0
37,12717,2.0
37,34189,2.0
38,7045,1.0
38,20126,1.0
38,30945,1.0
38,37668,1.0
44,136,1.0
44,5580,1.0
44,7850,1.0
44,8541,1.0
44,15890,1.0
44,17327,1.0
44,18328,1.0
44,19097,1.0
44,19429,1.0
44,22078,1.0
44,22860,1.0
44,23659,1.0
44,23852,1.0
44,24460,1.0
44,25503,1.0
44,28104,1.0
44,31533,1.0
44,36257,1.0
44,39508,1.0
44,40672,1.0
44,41751,1.0
44,41773,1.0
44,45662,1.0
44,46286,1.0
44,48534,1.0
44,49072,1.0
44,49722,1.0
44,54913,1.0
44,56101,1.0
47,40665,1.0
90,13733,1.0
90,40715,1.0
90,46514,1.0
105,13693,1.0
105,17854,1.0
105,30998,1.0
105,44164,1.0
105,49265,1.0
105,58083,1.0
106,1114,1.0
106,2555,6.0
106,2843,6.0
106,3129,6.0
106,4939,6.0
106,5749,6.0
106,7737,6.0
106,7946,6.0
106,8059,6.0
106,8827,6.0
106,11141,6.0
106,11346,6.0
106,12356,6.0
106,13776,6.0
106,13781,6.0
106,14388,6.0
106,14643,6.0
106,15209,6.0
106,16087,6.0
106,17874,6.0
106,18592,6.0
106,18883,6.0
106,18944,6.0
106,19498,6.0
106,19585,7.0
106,21951,6.0
106,22532,6.0
106,22702,6.0
106,22990,6.0
106,24331,6.0
106,26968,6.0
106,27212,6.0
106,28699,6.0
106,31437,6.0
106,33056,2.0
106,33463,6.0
106,33732,6.0
106,33749,6.0
106,36429,6.0
106,37374,6.0
106,37592,6.0
106,38467,1.0
106,39667,6.0
106,42009,6.0
106,42699,6.0
106,45382,6.0
106,46858,6.0
106,47134,6.0
106,47481,6.0
106,48837,6.0
106,49105,6.0
106,50544,6.0
106,50892,6.0
106,51680,6.0
106,51822,6.0
106,51930,6.0
106,52407,2.0
106,53665,6.0
106,53688,6.0
106,54043,8.0
106,54322,6.0
106,55812,6.0
106,57222,6.0
106,57618,6.0
106,58161,6.0
111,7779,2.0
111,25602,2.0
111,31147,2.0
111,37857,2.0
111,38579,2.0
134,2441,1.0
134,27852,1.0
134,42569,1.0
134,55670,1.0
136,5580,1.0
136,7850,1.0
136,8541,1.0
136,15890,1.0
136,17327,1.0
136,18328,1.0
136,19097,1.0
136,19429,1.0
136,22078,1.0
136,22860,1.0
136,23659,1.0
136,23852,1.0
136,24460,1.0
136,25503,1.0
136,28104,1.0
136,31533,1.0
136,36257,1.0
136,39508,1.0
136,40672,1.0
136,41751,1.0
136,41773,1.0
136,45662,1.0
136,46286,1.0
136,48534,1.0
136,49072,1.0
136,49722,1.0
136,54913,1.0
136,56101,1.0
141,198,2.0
141,14279,1.0
141,20338,1.0
141,40526,1.0
141,43647,1.0
141,53838,2.0
142,375,1.0
142,10052,1.0
142,12650,1.0
142,13111,4.0
142,17872,1.0
142,42318,1.0
142,52236,1.0
142,53839,1.0
142,55643,1.0
197,22557,1.0
197,29982,1.0
