source_id,target_id,weight
1,4761,1.0
1,11860,1.0
1,33223,1.0
1,41414,1.0
1,43426,1.0
1,57415,1.0
9,18668,1.0
9,29378,1.0
9,50907,1.0
9,56955,1.0
21,753,1.0
21,1232,2.0
21,1472,1.0
21,1970,1.0
21,2073,1.0
21,3124,1.0
21,3240,7.0
21,4807,1.0
21,4808,3.0
21,8634,1.0
21,10875,1.0
21,11541,13.0
21,11557,8.0
21,11993,1.0
21,15813,1.0
21,16433,1.0
21,22579,1.0
21,28530,1.0
21,28531,1.0
21,30714,2.0
21,33317,1.0
21,33893,1.0
21,34719,1.0
21,34720,5.0
21,34771,1.0
21,35691,1.0
21,36221,1.0
21,36222,2.0
21,37818,1.0
21,38423,1.0
21,38471,1.0
21,39888,1.0
21,39889,1.0
21,40029,2.0
21,40416,2.0
21,41963,2.0
21,42090,1.0
21,43753,1.0
21,43755,1.0
21,46664,1.0
21,47188,5.0
21,47600,2.0
21,50952,1.0
21,52638,5.0
21,52639,1.0
21,52754,1.0
21,53805,1.0
21,54232,1.0
21,54772,1.0
21,55756,1.0
21,56416,1.0
21,57209,1.0
21,58482,1.0
21,58842,1.0
21,60274,2.0
21,60613,1.0
56,989,1.0
56,5847,1.0
56,8767,1.0
56,10501,1.0
56,13827,1.0
56,24549,1.0
56,55509,1.0
58,15382,1.0
58,18564,1.0
58,36197,1.0
58,37143,1.0
58,40059,1.0
58,43304,1.0
58,46656,1.0
58,49383,1.0
58,51617,1.0
58,57482,1.0
58,57610,1.0
65,2875,1.0
65,2947,1.0
65,3055,1.0
65,4501,1.0
65,4502,1.0
65,5032,2.0
65,7018,1.0
65,7025,1.0
65,9707,1.0
65,9760,3.0
65,10023,7.0
65,10214,1.0
65,10266,1.0
65,11542,1.0
65,11714,1.0
65,12800,8.0
65,13145,1.0
65,13442,3.0
65,13793,4.0
65,13794,12.0
65,14248,5.0
65,14254,6.0
65,14255,1.0
65,15507,12.0
65,15773,1.0
65,16024,1.0
65,20210,24.0
65,21716,1.0
65,24284,2.0
65,25223,1.0
65,28329,1.0
65,29273,1.0
65,30367,2.0
65,31256,8.0
65,32762,1.0
65,32766,2.0
65,33631,1.0
65,33646,11.0
65,35800,1.0
65,35953,4.0
65,35954,1.0
65,36743,1.0
65,36958,1.0
65,37409,5.0
65,38972,1.0
65,39754,16.0
65,41215,1.0
65,43834,4.0
65,44104,1.0
65,44105,1.0
65,44457,4.0
65,47754,1.0
65,48071,4.0
